2025-06-03 12:13:06.365 [warning] Dir "/home/shaiksahil0911/.pixi/envs" is not watchable (directory does not exist)
2025-06-03 12:13:06.438 [info] Python interpreter path: ./venv/bin/python
2025-06-03 12:13:06.780 [info] > pyenv which python
2025-06-03 12:13:06.780 [info] cwd: .
2025-06-03 12:13:14.033 [info] Starting Jedi language server for shaiksahil0911.
2025-06-03 12:15:46.898 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:15:50.004 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:15:57.825 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:29:55.529 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:29:59.170 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:32:45.824 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:32:56.141 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:32:57.636 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:33:04.383 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:33:12.501 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:33:20.795 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:33:26.255 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:33:28.035 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:39:10.294 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:43:03.064 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:46:09.697 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:46:10.748 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:48:16.423 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:51:52.533 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:51:53.622 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 12:58:30.615 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:03:01.314 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:04:25.096 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:04:25.595 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:05:37.116 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:05:42.515 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:05:49.817 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:05:50.374 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:07:10.824 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:07:46.267 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:07:48.649 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:07:55.760 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:07:59.577 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:05.397 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:24.212 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:26.233 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:28.076 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:30.276 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
2025-06-03 13:08:31.281 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/resume_ai/parser/views.py
